Starting Comprehensive Audit...
runnerType,b,segment,inferred_ability,PB_5k_shift,LT_profile,recent_perf,recent_age,pred_5k,pred_10k,pred_half,pred_marathon,start_vdot,fc_4w,fc_8w,fc_16w,diff_5k_PB,diff_mar_PB,notes
Speed,1.15,intermediate,intermediate,0%,Weak,Under,2,20:10,43:11,1:37:06,3:31:04,46.69,0.76,0.95,1.15,10.5,-1280.1,
Speed,1.15,intermediate,intermediate,0%,Weak,Under,6,20:08,43:16,1:37:28,3:32:53,46.48,0.76,0.95,1.14,8.4,-1171.3,
Speed,1.15,intermediate,intermediate,0%,Weak,Under,10,20:06,43:17,1:37:26,3:33:54,46.5,0.76,0.95,1.14,6.8,-1110.4,
Speed,1.15,intermediate,intermediate,0%,Weak,Aligned,2,19:56,42:43,1:36:07,3:29:20,47.24,0.77,0.96,1.16,-3.6,-1384.2,
Speed,1.15,intermediate,intermediate,0%,Weak,Aligned,6,20:00,43:01,1:36:56,3:31:57,46.78,0.76,0.95,1.15,0.9,-1227,
Speed,1.15,intermediate,intermediate,0%,Weak,Aligned,10,20:05,43:14,1:37:21,3:33:45,46.55,0.76,0.95,1.15,5.6,-1119.6,
Speed,1.15,intermediate,intermediate,0%,Weak,Over,2,19:42,42:16,1:35:10,3:27:41,47.78,0.78,0.97,1.18,-17.1,-1483.8,
Speed,1.15,intermediate,intermediate,0%,Weak,Over,6,19:53,42:47,1:36:26,3:31:04,47.06,0.77,0.96,1.16,-6.4,-1280.3,
Speed,1.15,intermediate,intermediate,0%,Weak,Over,10,20:04,43:12,1:37:16,3:33:36,46.6,0.76,0.95,1.15,4.4,-1128.4,
Speed,1.15,intermediate,intermediate,0%,Weak,None,N/A,20:05,43:22,1:37:05,3:33:23,46.7,0.76,0.95,1.15,5.9,-1141,
Speed,1.15,intermediate,intermediate,0%,Aligned,Under,2,19:51,42:28,1:35:25,3:26:31,47.64,0.78,0.97,1.17,-8.3,-1553.7,
Speed,1.15,intermediate,intermediate,0%,Aligned,Under,6,19:45,42:25,1:35:30,3:27:49,47.59,0.78,0.97,1.17,-14.4,-1475.3,
Speed,1.15,intermediate,intermediate,0%,Aligned,Under,10,19:38,42:14,1:35:05,3:28:06,47.84,0.78,0.97,1.18,-21.7,-1458,
Speed,1.15,intermediate,intermediate,0%,Aligned,Aligned,2,19:37,42:00,1:34:26,3:24:47,48.22,0.79,0.98,1.19,-22.5,-1657.7,
Speed,1.15,intermediate,intermediate,0%,Aligned,Aligned,6,19:38,42:10,1:34:59,3:26:53,47.9,0.78,0.98,1.18,-22,-1531,
Speed,1.15,intermediate,intermediate,0%,Aligned,Aligned,10,19:37,42:12,1:34:59,3:27:57,47.89,0.78,0.98,1.18,-22.9,-1467.2,
Speed,1.15,intermediate,intermediate,0%,Aligned,Over,2,19:23,41:33,1:33:29,3:23:07,48.78,0.8,0.99,1.2,-36,-1757.4,
Speed,1.15,intermediate,intermediate,0%,Aligned,Over,6,19:30,41:56,1:34:28,3:26:00,48.19,0.79,0.98,1.19,-29.2,-1584.4,
Speed,1.15,intermediate,intermediate,0%,Aligned,Over,10,19:35,42:10,1:34:54,3:27:48,47.94,0.78,0.98,1.18,-24.1,-1476,
Speed,1.15,intermediate,intermediate,0%,Aligned,None,N/A,19:38,42:22,1:34:32,3:27:14,48.16,0.79,0.98,1.19,-21.1,-1510.9,
Speed,1.15,intermediate,intermediate,0%,Strong,Under,2,19:34,41:50,1:33:55,3:22:27,48.52,0.79,0.99,1.19,-25.1,-1796.9,
Speed,1.15,intermediate,intermediate,0%,Strong,Under,6,19:25,41:40,1:33:46,3:23:19,48.62,0.79,0.99,1.2,-34.7,-1745.7,
Speed,1.15,intermediate,intermediate,0%,Strong,Under,10,19:12,41:19,1:32:59,3:22:57,49.09,0.8,1,1.21,-47,-1767,
Speed,1.15,intermediate,intermediate,0%,Strong,Aligned,2,19:20,41:22,1:32:56,3:20:43,49.12,0.8,1,1.21,-39.2,-1901,
Speed,1.15,intermediate,intermediate,0%,Strong,Aligned,6,19:17,41:25,1:33:14,3:22:23,48.93,0.8,1,1.2,-42.3,-1801.3,
Speed,1.15,intermediate,intermediate,0%,Strong,Aligned,10,19:11,41:17,1:32:54,3:22:48,49.14,0.8,1,1.21,-48.3,-1776.2,
Speed,1.15,intermediate,intermediate,0%,Strong,Over,2,19:07,40:55,1:31:59,3:19:04,49.7,0.81,1.01,1.22,-52.8,-2000.7,
Speed,1.15,intermediate,intermediate,0%,Strong,Over,6,19:10,41:10,1:32:44,3:21:30,49.24,0.8,1,1.21,-49.5,-1854.7,
Speed,1.15,intermediate,intermediate,0%,Strong,Over,10,19:10,41:14,1:32:49,3:22:39,49.19,0.8,1,1.21,-49.5,-1785,
Speed,1.15,intermediate,intermediate,0%,Strong,None,N/A,19:14,41:29,1:32:16,3:21:45,49.53,0.81,1.01,1.22,-45,-1839.8,
Speed,1.15,intermediate,intermediate,0%,None,Under,2,20:12,43:27,1:39:16,3:31:48,45.5,0.74,0.93,1.12,12,-1236.4,
Speed,1.15,intermediate,novice,0%,None,Under,6,20:07,43:46,1:41:09,3:38:33,44.53,0.83,1.3,1.75,7.9,-831.6,
Speed,1.15,intermediate,novice,0%,None,Under,10,20:01,44:14,1:43:51,3:48:48,43.18,0.8,1.26,1.7,1.9,-216.4,
Speed,1.15,intermediate,intermediate,0%,None,Aligned,2,19:45,42:31,1:37:11,3:26:53,46.64,0.76,0.95,1.15,-14.5,-1531.2,
Speed,1.15,intermediate,intermediate,0%,None,Aligned,6,19:50,43:10,1:39:46,3:35:15,45.24,0.74,0.92,1.11,-9.5,-1029.9,
Speed,1.15,intermediate,novice,0%,None,Aligned,10,19:57,44:05,1:43:31,3:47:56,43.34,0.8,1.26,1.71,-2.3,-268,
Speed,1.15,intermediate,intermediate,0%,None,Over,2,19:20,41:38,1:35:10,3:22:11,47.78,0.78,0.97,1.18,-39.9,-1813.6,
Speed,1.15,intermediate,intermediate,0%,None,Over,6,19:33,42:34,1:38:28,3:32:05,45.94,0.75,0.94,1.13,-26.2,-1219.9,
Speed,1.15,intermediate,novice,0%,None,Over,10,19:53,43:56,1:43:12,3:47:07,43.5,0.81,1.27,1.71,-6.4,-317.4,
Speed,1.15,intermediate,novice,0%,None,None,N/A,20:00,44:22,1:44:43,3:52:24,42.76,0.79,1.25,1.69,0,0,
Speed,1.15,intermediate,intermediate,-1%,Weak,Under,2,19:58,42:46,1:36:08,3:29:00,47.23,0.77,0.96,1.16,10.6,-1265.2,
Speed,1.15,intermediate,intermediate,-1%,Weak,Under,6,19:56,42:50,1:36:30,3:30:48,47.02,0.77,0.96,1.16,8.5,-1157.3,
Speed,1.15,intermediate,intermediate,-1%,Weak,Under,10,19:54,42:51,1:36:28,3:31:48,47.04,0.77,0.96,1.16,6.9,-1096.8,
Speed,1.15,intermediate,intermediate,-1%,Weak,Aligned,2,19:44,42:18,1:35:09,3:27:16,47.79,0.78,0.97,1.18,-3.5,-1369.2,
Speed,1.15,intermediate,intermediate,-1%,Weak,Aligned,6,19:48,42:35,1:35:59,3:29:52,47.32,0.77,0.96,1.16,1,-1213,
Speed,1.15,intermediate,intermediate,-1%,Weak,Aligned,10,19:53,42:49,1:36:23,3:31:39,47.09,0.77,0.96,1.16,5.7,-1106,
Speed,1.15,intermediate,intermediate,-1%,Weak,Over,2,19:31,41:52,1:34:15,3:25:40,48.32,0.79,0.98,1.19,-16.5,-1464.6,
Speed,1.15,intermediate,intermediate,-1%,Weak,Over,6,19:42,42:22,1:35:30,3:29:01,47.6,0.78,0.97,1.17,-6,-1264,
Speed,1.15,intermediate,intermediate,-1%,Weak,Over,10,19:52,42:46,1:36:18,3:31:31,47.13,0.77,0.96,1.16,4.6,-1114.4,
Speed,1.15,intermediate,intermediate,-1%,Weak,None,N/A,19:54,42:56,1:36:07,3:31:18,47.23,0.77,0.96,1.16,6,-1126.9,
Speed,1.15,intermediate,intermediate,-1%,Aligned,Under,2,19:40,42:04,1:34:31,3:24:38,48.16,0.79,0.98,1.19,-7.5,-1527.3,
Speed,1.15,intermediate,intermediate,-1%,Aligned,Under,6,19:34,42:01,1:34:37,3:25:56,48.1,0.79,0.98,1.18,-13.4,-1448.6,
Speed,1.15,intermediate,intermediate,-1%,Aligned,Under,10,19:27,41:51,1:34:13,3:26:15,48.34,0.79,0.98,1.19,-20.4,-1429.8,
Speed,1.15,intermediate,intermediate,-1%,Aligned,Aligned,2,19:26,41:36,1:33:32,3:22:54,48.75,0.8,0.99,1.2,-21.6,-1631.3,
Speed,1.15,intermediate,intermediate,-1%,Aligned,Aligned,6,19:27,41:46,1:34:06,3:25:01,48.41,0.79,0.99,1.19,-20.9,-1504.3,
Speed,1.15,intermediate,intermediate,-1%,Aligned,Aligned,10,19:26,41:49,1:34:08,3:26:06,48.39,0.79,0.99,1.19,-21.6,-1439,
Speed,1.15,intermediate,intermediate,-1%,Aligned,Over,2,19:13,41:11,1:32:38,3:21:18,49.3,0.8,1,1.21,-34.6,-1726.7,
Speed,1.15,intermediate,intermediate,-1%,Aligned,Over,6,19:20,41:33,1:33:37,3:24:10,48.7,0.8,0.99,1.2,-27.9,-1555.4,
Speed,1.15,intermediate,intermediate,-1%,Aligned,Over,10,19:25,41:47,1:34:03,3:25:58,48.44,0.79,0.99,1.19,-22.8,-1447.4,
Speed,1.15,intermediate,intermediate,-1%,Aligned,None,N/A,19:28,41:59,1:33:41,3:25:24,48.66,0.79,0.99,1.2,-19.8,-1481.4,
Speed,1.15,intermediate,intermediate,-1%,Strong,Under,2,19:23,41:25,1:32:59,3:20:27,49.09,0.8,1,1.21,-24.8,-1778.1,
Speed,1.15,intermediate,intermediate,-1%,Strong,Under,6,19:13,41:15,1:32:50,3:21:18,49.18,0.8,1,1.21,-34.3,-1727.3,
Speed,1.15,intermediate,intermediate,-1%,Strong,Under,10,19:01,40:54,1:32:04,3:20:57,49.65,0.81,1.01,1.22,-46.5,-1748.4,
Speed,1.15,intermediate,intermediate,-1%,Strong,Aligned,2,19:09,40:57,1:32:00,3:18:43,49.69,0.81,1.01,1.22,-38.9,-1882.1,
Speed,1.15,intermediate,intermediate,-1%,Strong,Aligned,6,19:06,41:00,1:32:18,3:20:22,49.5,0.81,1.01,1.22,-41.9,-1783,
Speed,1.15,intermediate,intermediate,-1%,Strong,Aligned,10,19:00,40:52,1:31:58,3:20:47,49.71,0.81,1.01,1.22,-47.7,-1757.6,
Speed,1.15,intermediate,intermediate,-1%,Strong,Over,2,18:56,40:31,1:31:06,3:17:07,50.26,0.82,1.02,1.24,-51.9,-1977.5,
Speed,1.15,intermediate,intermediate,-1%,Strong,Over,6,18:59,40:46,1:31:49,3:19:31,49.81,0.81,1.01,1.23,-48.8,-1834.1,
Speed,1.15,intermediate,intermediate,-1%,Strong,Over,10,18:59,40:50,1:31:54,3:20:39,49.76,0.81,1.01,1.22,-48.9,-1766,
Speed,1.15,intermediate,intermediate,-1%,Strong,None,N/A,19:03,41:04,1:31:21,3:19:45,50.1,0.82,1.02,1.23,-44.5,-1820.5,
