runnerType,variant,pb_5k,pb_10k,pb_half,pb_marathon,pb_5k_sec,pb_10k_sec,pb_half_sec,pb_marathon_sec,pred_5k_sec,pred_10k_sec,pred_half_sec,pred_marathon_sec,diff_5k_sec,diff_mar_sec,vdot_pb,vdot_lt,vdot_recent,vdot_blended,w_pb,w_lt,w_recent,w_vo2,forecast_vdot_4w,forecast_delta_4w,forecast_vdot_8w,forecast_delta_8w,forecast_vdot_16w,forecast_delta_16w,guardrail_flags
Speed,Control,20:00,44:22,1:44:43,3:52:24,1200.0,2663.0,6283.8,13944.9,1178.0,2530.4,5699.0,12413.9,-22.0,-1531.0,39.4,46.2,45.3,45.4,0.08,0.61,0.16,0.15,46.10,0.74,46.28,0.92,46.47,1.12,ok
Balanced,Control,20:00,42:34,1:36:03,3:24:29,1200.0,2554.5,5763.7,12269.8,1188.8,2527.2,5632.3,11974.9,-11.2,-294.9,46.0,47.5,47.6,47.4,0.08,0.61,0.16,0.15,48.12,0.76,48.28,0.93,48.46,1.11,ok
Endurance,Control,20:00,40:50,1:28:06,2:59:55,1200.0,2450.4,5286.8,10796.0,1207.1,2525.0,5542.4,11455.9,7.1,660.0,53.6,48.8,52.9,49.9,0.08,0.61,0.16,0.15,50.72,0.80,50.87,0.96,51.04,1.12,ok
Speed,No LT,20:00,44:22,1:44:43,3:52:24,1200.0,2663.0,6283.8,13944.9,1190.5,2590.1,5986.9,12915.0,-9.5,-1029.9,39.4,0.0,45.3,43.3,0.08,0.61,0.16,0.15,44.05,0.80,44.51,1.26,44.95,1.70,ok
Balanced,No LT,20:00,42:34,1:36:03,3:24:29,1200.0,2554.5,5763.7,12269.8,1190.5,2527.0,5684.3,12038.0,-9.5,-231.8,46.0,0.0,47.6,47.1,0.08,0.61,0.16,0.15,47.81,0.76,47.98,0.93,48.15,1.10,ok
Endurance,No LT,20:00,40:50,1:28:06,2:59:55,1200.0,2450.4,5286.8,10796.0,1207.8,2466.5,5321.3,10876.4,7.8,80.5,53.6,0.0,52.9,53.1,0.08,0.61,0.16,0.15,53.50,0.42,53.50,0.42,53.50,0.42,ok
Speed,No Recent,20:00,44:22,1:44:43,3:52:24,1200.0,2663.0,6283.8,13944.9,1178.9,2542.7,5672.3,12434.0,-21.1,-1510.9,39.4,46.2,0.0,45.3,0.10,0.70,0.00,0.20,46.01,0.74,46.19,0.92,46.38,1.11,ok
Balanced,No Recent,20:00,42:34,1:36:03,3:24:29,1200.0,2554.5,5763.7,12269.8,1191.6,2535.7,5632.6,11990.2,-8.4,-279.6,46.0,47.5,0.0,47.3,0.10,0.70,0.00,0.20,48.04,0.76,48.21,0.93,48.38,1.10,ok
Endurance,No Recent,20:00,40:50,1:28:06,2:59:55,1200.0,2450.4,5286.8,10796.0,1204.3,2530.1,5601.5,11571.5,4.3,775.5,53.6,48.8,0.0,49.3,0.10,0.70,0.00,0.20,50.11,0.79,50.27,0.95,50.44,1.11,ok
Speed,PB -5%,19:00,42:09,1:39:29,3:40:47,1140.0,2529.8,5969.6,13247.7,1121.4,2409.0,5426.0,11823.9,-18.6,-1423.7,41.9,48.9,48.1,48.1,0.08,0.61,0.16,0.15,48.86,0.78,49.05,0.98,49.26,1.18,ok
Balanced,PB -5%,19:00,40:26,1:31:15,3:14:16,1140.0,2426.8,5475.6,11656.3,1131.7,2406.1,5362.7,11406.2,-8.3,-250.1,48.9,50.2,50.6,50.2,0.08,0.61,0.16,0.15,50.99,0.81,51.16,0.99,51.35,1.17,ok
Endurance,PB -5%,19:00,38:47,1:23:42,2:50:56,1140.0,2327.9,5022.4,10256.2,1149.1,2404.1,5277.5,10912.5,9.1,656.4,56.9,51.6,56.2,52.9,0.08,0.61,0.16,0.15,53.69,0.82,53.76,0.89,53.84,0.96,ok
